"Name","ICAO","Location"
"Donauwörth-Genderkingen","EDMQ","48° 42′ N, 10° 51′ O"
"Donzdorf","EDPM","48° 41′ N, 9° 51′ O"
"Ebern-Sendelbach","EDQR","50° 2′ N, 10° 49′ O"
"Finow","EDAV","52° 50′ N, 13° 42′ O"
"Eggenfelden","EDME","48° 24′ N, 12° 43′ O"
"Eggersdorf","EDCE","52° 29′ N, 14° 5′ O"
"Eichstätt","EDPE","48° 53′ N, 11° 11′ O"
"Eisenach-Kindel","EDGE","51° 0′ N, 10° 28′ O"
"Eisenhüttenstadt","EDAE","52° 12′ N, 14° 35′ O"
"Ellwangen","EDPY","48° 58′ N, 10° 14′ O"
"Elz","EDFY","50° 26′ N, 8° 1′ O"
"Emden","EDWE","53° 23′ N, 7° 14′ O"
"Emmel Airfield Dedelow","EDBD","53° 21′ N, 13° 47′ O"
"Erbach","EDNE","48° 21′ N, 9° 55′ O"
"Falkenberg-Lönnewitz","EDUF","51° 33′ N, 13° 14′ O"
"Finsterwalde/Heinrichsruh","EDAS","51° 38′ N, 13° 41′ O"
"Finsterwalde/Schacksdorf","EDUS","51° 36′ N, 13° 45′ O"
"Flensburg-Schäferhaus","EDXF","54° 46′ N, 9° 23′ O"
"Frankfurt-Egelsbach","EDFE","49° 58′ N, 8° 39′ O"
"Freiburg i. Br.","EDTF","48° 1′ N, 7° 50′ O"
"Fritzlar","ETHF","51° 7′ N, 9° 17′ O"
"Fulda-Jossa","EDGF","50° 29′ N, 9° 27′ O"
"Fürstenfeldbruck","ETSF","48° 12′ N, 11° 16′ O"
"Fürstenwalde","EDAL","52° 23′ N, 14° 5′ O"
"Fürstenzell","EDMF","48° 31′ N, 13° 21′ O"
"Ganderkesee Atlas Airfield","EDWQ","53° 2′ N, 8° 30′ O"
"Gardelegen","EDOC","52° 32′ N, 11° 21′ O"
"Gelnhausen","EDFG","50° 12′ N, 9° 10′ O"
"Gera-Leumnitz","EDAJ","50° 53′ N, 12° 8′ O"
"Gerstetten","EDPT","48° 37′ N, 10° 3′ O"
"Giebelstadt","EDQG","49° 39′ N, 9° 58′ O"
"Giengen/Brenz","EDNG","48° 38′ N, 10° 13′ O"
"Gießen-Lützellinden","EDFL","50° 33′ N, 8° 35′ O"
"Gießen-Reiskirchen","EDGR","50° 34′ N, 8° 52′ O"
"Goch-Asperden","EDLG","51° 41′ N, 6° 6′ O"
"Görlitz","EDBX","51° 10′ N, 14° 57′ O"
"Gotha-Ost","EDEG","50° 58′ N, 10° 44′ O"
"Grabenstetten","EDSG","48° 32′ N, 9° 26′ O"
"Grefrath-Niershorst","EDLF","51° 20′ N, 6° 22′ O"
"Greiz-Obergrochlitz","EDOT","50° 39′ N, 12° 11′ O"
"Griesau","EDPG","48° 57′ N, 12° 25′ O"
"Großenhain","EDAK","51° 18′ N, 13° 33′ O"
"Großrückerswalde","EDAG","50° 39′ N, 13° 8′ O"
"Grube","EDHB","54° 15′ N, 11° 1′ O"
"Gundelfingen","EDMU","48° 34′ N, 10° 22′ O"
"Günzburg-Donauried","EDMG","48° 29′ N, 10° 17′ O"
"Gunzenhausen-Reutberg","EDMH","49° 7′ N, 10° 47′ O"
"Güstrow","EDCU","53° 48′ N, 12° 14′ O"
